grade1,grade2,grade3,attendance_rate,study_hours,passed
81,94,32,0.53,7.6,1
44,67,70,0.45,4.9,1
90,40,64,0.69,11.3,1
50,39,79,0.87,4.7,0
53,88,59,0.86,10.2,1
32,84,99,0.82,5.4,1
51,49,83,0.89,9.4,1
82,46,80,0.5,11.0,1
31,97,57,0.79,6.1,1
59,34,93,0.76,6.8,1
67,89,50,0.49,4.6,1
31,52,56,0.65,1.6,0
93,75,56,0.91,8.2,1
89,81,79,0.98,2.3,1
50,39,58,0.8,4.9,0
62,75,68,0.95,4.8,1
87,57,86,0.48,2.7,1
51,72,66,0.99,8.3,1
78,55,93,0.42,2.9,0
88,84,77,0.72,9.6,1
71,77,51,0.57,3.7,1
89,58,59,0.89,4.2,1
44,56,57,0.53,4.8,0
91,47,52,0.41,2.7,0
91,89,33,0.65,5.8,1
76,98,32,0.44,1.9,1
91,50,90,0.57,5.7,1
80,53,33,0.79,4.7,0
84,32,94,0.58,4.7,1
93,91,41,0.55,8.3,1
32,31,42,0.49,9.5,0
80,95,63,0.48,4.9,1
36,71,88,0.72,3.9,1
50,63,60,0.81,6.4,0
68,71,42,0.67,9.7,1
47,49,83,0.47,8.1,0
33,97,31,0.79,1.4,0
89,74,62,0.73,6.3,1
43,71,79,0.63,11.9,1
38,76,36,0.6,4.9,0
82,34,47,0.51,5.8,0
31,78,80,0.49,4.2,0
89,66,37,0.6,6.5,1
73,63,84,0.42,2.8,0
37,99,72,0.66,3.7,1
76,47,88,0.76,8.8,1
64,48,59,0.96,2.5,0
65,69,88,0.78,11.2,1
79,46,38,0.77,4.4,1
33,89,97,0.62,7.3,1
31,71,68,0.48,4.5,0
35,94,40,0.67,6.3,0
83,82,31,0.76,10.9,1
33,36,52,0.83,1.8,0
83,34,92,0.9,10.4,1
92,53,51,0.55,7.1,1
47,57,90,0.54,8.3,0
73,91,55,0.74,1.6,1
63,46,41,0.74,9.4,0
91,49,61,0.53,2.4,0
43,32,38,0.75,11.6,0
77,66,98,0.61,9.8,1
44,44,62,0.78,6.4,1
91,80,53,0.57,11.2,1
69,77,98,0.76,2.9,1
82,37,67,0.86,11.9,1
53,42,40,0.99,8.9,0
55,77,61,0.95,2.1,1
89,32,93,0.7,6.9,1
70,94,49,0.69,8.8,0
58,60,63,0.66,7.7,1
44,55,71,0.42,5.7,0
74,85,37,0.5,3.7,1
94,63,95,0.44,3.6,1
38,38,50,0.82,11.2,0
30,91,99,0.65,3.6,1
37,42,34,0.44,11.6,0
92,98,96,0.81,3.3,1
40,70,72,0.79,5.2,1
37,30,45,0.83,1.1,0
64,76,64,0.76,10.9,1
64,33,72,0.5,2.1,0
62,92,68,0.44,4.9,1
34,81,39,0.89,10.3,1
70,39,49,0.53,9.7,0
57,57,30,0.73,10.3,0
36,35,35,0.69,11.1,0
41,56,82,0.95,11.0,1
63,41,75,0.73,9.5,0
62,91,95,0.75,7.4,1
77,81,67,0.59,7.2,1
52,77,62,0.98,1.1,1
91,96,96,0.77,8.9,1
66,75,64,0.4,3.5,1
73,44,74,0.73,10.1,1
64,65,51,0.62,7.1,0
94,43,97,0.42,11.9,1
76,32,46,0.66,3.3,0
32,96,34,0.86,9.0,0
30,48,86,0.7,7.0,0
34,83,69,0.78,11.2,1
43,98,59,0.78,3.9,1
56,39,71,0.8,1.7,0
38,62,36,0.63,7.0,0
44,42,48,0.62,6.7,0
71,80,70,0.4,4.4,0
80,61,63,0.49,11.9,1
92,53,51,0.97,1.8,1
81,64,81,0.91,7.3,1
33,99,35,0.57,3.9,0
52,69,54,0.64,1.0,0
44,83,95,0.96,11.9,1
72,73,39,0.55,6.3,0
58,91,55,0.72,10.4,1
65,97,34,0.41,10.2,1
42,62,97,0.77,9.9,1
61,85,79,0.96,6.0,1
88,65,46,0.93,10.9,1
57,83,40,0.7,5.0,0
95,48,82,0.79,5.5,1
71,72,79,0.74,3.8,1
74,41,37,0.44,5.9,0
91,40,91,0.5,11.9,1
86,99,58,0.98,7.3,1
35,41,73,0.55,10.1,0
57,70,74,0.63,3.9,1
57,54,58,0.71,11.5,1
73,32,88,0.99,1.1,1
59,32,44,0.81,11.2,1
91,57,99,0.78,10.9,1
91,52,73,0.71,1.7,1
30,77,65,0.82,7.7,0
56,96,86,0.8,9.6,1
91,71,93,0.94,5.4,1
32,69,67,0.73,2.0,0
99,35,46,0.65,10.1,0
56,49,56,0.88,6.1,1
38,40,46,0.88,3.9,0
91,56,92,0.5,1.8,0
66,50,40,0.54,8.0,0
80,42,93,0.98,1.5,1
73,64,68,0.67,9.7,1
53,76,31,0.71,9.5,1
88,57,95,0.59,4.6,1
61,50,83,0.69,6.2,1
81,47,58,0.85,8.4,1
91,60,74,0.69,11.6,1
87,89,60,0.59,6.7,1
81,66,78,0.46,12.0,1
41,50,38,0.96,4.6,0
68,43,56,0.92,6.8,0
31,89,85,0.87,2.3,1
32,52,74,0.82,7.1,0
85,58,72,0.71,6.9,1
88,76,51,0.94,10.3,1
31,59,62,0.88,12.0,1
31,67,56,0.89,11.8,0
83,56,69,0.59,3.6,1
30,44,55,0.65,4.7,0
48,88,74,0.82,4.0,1
31,32,74,0.62,3.2,0
82,39,55,0.7,2.7,0
73,46,99,0.79,6.6,1
61,40,96,0.66,10.6,1
99,77,35,0.88,7.5,1
61,34,57,0.47,10.6,0
97,98,96,0.83,11.6,1
84,93,42,0.49,5.2,1
85,43,92,0.96,10.2,1
46,79,42,0.59,1.6,0
67,55,30,0.88,6.3,0
53,98,69,0.71,5.1,1
98,36,66,0.45,3.3,1
99,45,60,0.75,5.8,1
40,84,46,0.95,5.9,0
45,85,38,0.49,9.9,0
88,33,93,0.59,10.6,1
99,77,86,0.66,8.2,1
32,46,42,0.57,8.0,0
49,65,66,0.97,2.2,0
88,99,43,0.63,7.3,1
65,67,54,0.79,4.0,1
48,91,86,0.53,4.2,0
96,77,71,0.53,2.0,0
48,39,71,0.51,8.0,0
49,65,76,0.66,7.4,1
81,58,73,0.72,3.4,1
62,33,70,0.41,3.9,0
69,73,32,0.9,9.5,0
68,85,30,0.71,9.7,1
30,71,40,0.49,6.4,0
40,42,36,0.44,2.6,0
86,75,41,0.44,1.6,0
79,62,67,0.55,4.0,1
52,50,83,0.7,9.0,0
60,86,96,0.92,7.6,1
71,98,82,0.94,8.9,1
36,99,61,0.9,6.2,1
45,96,74,0.6,9.3,1
89,77,80,0.58,6.3,1
31,62,66,0.99,1.9,0
30,65,88,0.81,1.9,1
77,62,83,0.58,10.1,1
41,60,47,0.6,7.9,0
98,50,30,0.66,4.1,0
66,56,50,0.77,9.3,0
61,91,57,0.94,2.5,1
38,55,45,0.52,8.1,0
48,95,77,0.45,11.9,1
77,41,57,0.64,2.7,0
32,51,51,0.55,2.6,0
49,46,30,0.75,6.1,0
53,36,71,0.82,8.1,0
83,97,99,0.59,1.3,0
62,66,32,0.81,6.5,0
53,67,73,0.61,1.9,0
65,40,56,0.78,3.7,0
67,30,80,0.78,8.8,1
54,54,53,0.57,9.1,0
47,71,49,0.78,9.0,0
95,81,61,0.63,1.7,0
83,53,42,0.6,9.7,0
64,82,72,0.57,5.8,1
90,85,49,0.61,6.2,1
70,92,31,0.87,5.6,1
62,37,97,0.55,10.4,0
97,88,89,0.81,8.5,1
62,74,33,0.94,6.5,0
43,56,46,0.61,10.2,0
50,81,30,0.42,9.9,0
77,47,62,0.41,1.1,0
49,45,59,0.48,6.3,0
37,95,34,0.47,1.5,0
36,34,41,0.85,4.4,0
96,32,61,0.58,9.8,1
46,99,67,0.79,11.4,1
62,36,46,0.43,3.7,0
77,79,87,0.58,1.2,0
88,43,69,0.54,5.4,1
51,67,53,0.57,4.7,0
59,76,41,0.51,8.4,0
67,62,48,0.77,6.4,0
80,72,58,0.8,5.4,1
83,58,81,0.49,3.5,1
37,86,46,0.84,10.1,0
56,34,50,0.55,3.7,0
56,89,89,0.57,1.6,1
50,99,49,0.9,7.2,1
59,31,82,0.94,4.5,1
57,99,92,0.89,8.8,1
93,72,86,0.49,1.9,0
98,33,58,1.0,11.6,1
90,85,30,0.8,3.1,1
77,88,88,0.71,4.9,1
48,38,93,0.97,6.3,0
33,32,73,0.89,10.8,0
64,77,77,0.82,8.9,1
93,72,44,0.9,2.6,1
78,30,64,0.63,5.8,0
46,86,52,0.81,7.0,1
73,82,82,0.51,8.7,1
59,45,74,0.99,7.3,0
75,80,42,0.75,6.0,1
35,84,63,0.89,9.4,1
66,30,67,0.64,5.2,0
